team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Utah State,2022,6,SUU,America First Event Center,0,0,0,0,Kielyn McCright,.,.,9.85,.,0,0,Amanda Kay Turko,Anna Lee Olsen,Janine Bell,Alicia Bryan,Anna Lee Olsen,Janine Bell,Amanda Kay Turko,Alicia Bryan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,6,SUU,America First Event Center,0,0,0,0,Maia Fishwick,.,9.85,.,.,0,0,Amanda Kay Turko,Anna Lee Olsen,Janine Bell,Alicia Bryan,Anna Lee Olsen,Janine Bell,Amanda Kay Turko,Alicia Bryan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,6,SUU,America First Event Center,0,0,0,0,Molly Arnold,9.8,.,.,9.9,0,0,Amanda Kay Turko,Anna Lee Olsen,Janine Bell,Alicia Bryan,Anna Lee Olsen,Janine Bell,Amanda Kay Turko,Alicia Bryan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,6,SUU,America First Event Center,0,0,0,0,Rebecca Wells,9.9,9.775,9.8,9.825,0,0,Amanda Kay Turko,Anna Lee Olsen,Janine Bell,Alicia Bryan,Anna Lee Olsen,Janine Bell,Amanda Kay Turko,Alicia Bryan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,6,SUU,America First Event Center,0,0,1,0,Sofi Sullivan,.,9.6,9.875,.,0,0,Amanda Kay Turko,Anna Lee Olsen,Janine Bell,Alicia Bryan,Anna Lee Olsen,Janine Bell,Amanda Kay Turko,Alicia Bryan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,6,SUU,America First Event Center,0,0,1,1,Trinity Brown,9.875,.,.,9.825,0,0,Amanda Kay Turko,Anna Lee Olsen,Janine Bell,Alicia Bryan,Anna Lee Olsen,Janine Bell,Amanda Kay Turko,Alicia Bryan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,5,Utah State,Dee Glen Smith Spectrum,0,0,0,0,Brianna Brooks,9.825,9.85,9.825,.,0,0,Janet Earl,Tracy Smith,Shelley Chapman,Cydni Medeiros,Tracy Brewer,Crystal Lofton,Vickie Kalthoff,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,5,Utah State,Dee Glen Smith Spectrum,0,0,1,1,Brie Clark,9.775,.,9.85,9.175,0,0,Janet Earl,Tracy Smith,Shelley Chapman,Cydni Medeiros,Tracy Brewer,Crystal Lofton,Vickie Kalthoff,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,5,Utah State,Dee Glen Smith Spectrum,0,0,0,0,Carley Bayles,.,.,9.9,.,0,0,Janet Earl,Tracy Smith,Shelley Chapman,Cydni Medeiros,Tracy Brewer,Crystal Lofton,Vickie Kalthoff,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,5,Utah State,Dee Glen Smith Spectrum,0,0,1,1,Eve Jackson,.,9.2,.,9.775,0,0,Janet Earl,Tracy Smith,Shelley Chapman,Cydni Medeiros,Tracy Brewer,Crystal Lofton,Vickie Kalthoff,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,5,Utah State,Dee Glen Smith Spectrum,0,0,1,0,Jessica Gutierrez,.,9.8,.,9.825,0,0,Janet Earl,Tracy Smith,Shelley Chapman,Cydni Medeiros,Tracy Brewer,Crystal Lofton,Vickie Kalthoff,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
