team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Nebraska,2020,7,Minnesota,"Minneapolis, MN",0,0,0,0,Taylor Houchin,9.95,9.4,9.85,9.55,0.1,1,Mary Hoagland,Kylie Fortunato,Windee Weiss,Erin Holly,Mary Hoagland,Erin Holly,Windee Weiss,Kylie Fortunato,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,7,Minnesota,"Minneapolis, MN",0,0,0,0,Abby Johnston,.,.,.,9.1,0,0,Mary Hoagland,Kylie Fortunato,Windee Weiss,Erin Holly,Mary Hoagland,Erin Holly,Windee Weiss,Kylie Fortunato,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,7,Minnesota,"Minneapolis, MN",0,0,0,0,Kylie Piringer,9.7,9.675,.,9.8,0,0,Mary Hoagland,Kylie Fortunato,Windee Weiss,Erin Holly,Mary Hoagland,Erin Holly,Windee Weiss,Kylie Fortunato,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,7,Minnesota,"Minneapolis, MN",0,0,0,0,Kynsee Roby,9.75,.,9.85,.,0,0,Mary Hoagland,Kylie Fortunato,Windee Weiss,Erin Holly,Mary Hoagland,Erin Holly,Windee Weiss,Kylie Fortunato,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,7,Minnesota,"Minneapolis, MN",0,0,0,0,Kathryn Thaler,.,9.625,.,.,0,0,Mary Hoagland,Kylie Fortunato,Windee Weiss,Erin Holly,Mary Hoagland,Erin Holly,Windee Weiss,Kylie Fortunato,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,7,Minnesota,"Minneapolis, MN",0,0,1,1,Megan Verceles Carr,9.8,9.775,9.7,.,0,0,Mary Hoagland,Kylie Fortunato,Windee Weiss,Erin Holly,Mary Hoagland,Erin Holly,Windee Weiss,Kylie Fortunato,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,6,Nebraska,Bob Devaney Sports Center,0,0,0,0,Clara Colombo,.,9.7,.,.,0,0,Beth Renwick,Judy Denny,Jeanelle Buseman,Christine Shaw,Beth Renwick,Chrstine Shaw,Jeanelle Buseman,Judy Denny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,6,Nebraska,Bob Devaney Sports Center,0,0,0,0,Makayla Curtis,9.7,.,9.2,9.825,0,0,Beth Renwick,Judy Denny,Jeanelle Buseman,Christine Shaw,Beth Renwick,Chrstine Shaw,Jeanelle Buseman,Judy Denny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,6,Nebraska,Bob Devaney Sports Center,0,0,1,0,Adnerys De Jesus,9.825,9.85,9.75,9.9,0,0,Beth Renwick,Judy Denny,Jeanelle Buseman,Christine Shaw,Beth Renwick,Chrstine Shaw,Jeanelle Buseman,Judy Denny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,6,Nebraska,Bob Devaney Sports Center,0,0,0,0,Sierra Hassel,9.65,.,9.825,9.85,0,0,Beth Renwick,Judy Denny,Jeanelle Buseman,Christine Shaw,Beth Renwick,Chrstine Shaw,Jeanelle Buseman,Judy Denny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,6,Nebraska,Bob Devaney Sports Center,0,0,0,0,Taylor Houchin,9.9,9.825,9.85,9.825,0,0,Beth Renwick,Judy Denny,Jeanelle Buseman,Christine Shaw,Beth Renwick,Chrstine Shaw,Jeanelle Buseman,Judy Denny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nebraska,2020,6,Nebraska,Bob Devaney Sports Center,0,0,0,0,Abby Johnston,.,.,.,9.8,0,0,Beth Renwick,Judy Denny,Jeanelle Buseman,Christine Shaw,Beth Renwick,Chrstine Shaw,Jeanelle Buseman,Judy Denny,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
